current_time,detector_temperature,backside_temperature
2024-01-01 15:36:48,-64,37
2024-01-01 15:36:58,-65,37
2024-01-01 15:37:09,-65,35
2024-01-01 15:37:19,-63,35
2024-01-01 15:37:29,-62,36
2024-01-01 15:37:40,-64,37
2024-01-01 15:37:50,-66,38
2024-01-01 15:38:00,-67,39
2024-01-01 15:38:11,-69,39
2024-01-01 15:38:21,-70,39
2024-01-01 15:38:31,-72,39
2024-01-01 15:38:42,-72,39
2024-01-01 15:38:52,-72,38
2024-01-01 15:39:02,-72,38
2024-01-01 15:39:13,-71,38
2024-01-01 15:39:23,-71,37
2024-01-01 15:39:33,-70,37
2024-01-01 15:39:44,-70,37
2024-01-01 15:39:54,-70,37
2024-01-01 15:40:04,-70,37
2024-01-01 15:40:15,-70,37
2024-01-01 15:40:25,-70,37
2024-01-01 15:40:35,-70,37
2024-01-01 15:40:46,-70,37
2024-01-01 15:40:56,-70,37
2024-01-01 15:41:06,-70,37
2024-01-01 15:41:17,-70,37
2024-01-01 15:41:27,-70,37
2024-01-01 15:41:37,-70,37
2024-01-01 15:41:48,-70,37
2024-01-01 15:41:58,-70,37
2024-01-01 15:42:09,-70,37
2024-01-01 15:42:19,-70,37
2024-01-01 15:42:30,-70,37
2024-01-01 15:42:40,-70,37
2024-01-01 15:42:50,-70,37
2024-01-01 15:43:01,-70,37
2024-01-01 15:43:11,-70,37
2024-01-01 15:43:21,-70,37
2024-01-01 15:43:32,-70,37
2024-01-01 15:43:42,-70,37
2024-01-01 15:43:52,-70,37
2024-01-01 15:44:03,-70,37
2024-01-01 15:44:13,-70,37
2024-01-01 15:44:23,-70,37
2024-01-01 15:44:34,-70,37
2024-01-01 15:44:44,-70,37
2024-01-01 15:44:55,-70,37
2024-01-01 15:45:05,-70,37
2024-01-01 15:45:15,-70,37
2024-01-01 15:45:26,-70,37
2024-01-01 15:45:36,-70,37
2024-01-01 15:45:46,-70,37
2024-01-01 15:45:57,-70,37
2024-01-01 15:46:07,-70,37
2024-01-01 15:46:17,-70,37
2024-01-01 15:46:28,-70,37
2024-01-01 15:46:38,-70,37
2024-01-01 15:46:48,-70,37
2024-01-01 15:46:59,-70,37
2024-01-01 15:47:09,-70,37
2024-01-01 15:47:19,-70,37
2024-01-01 15:47:30,-70,37
2024-01-01 15:47:40,-70,37
2024-01-01 15:47:50,-70,37
2024-01-01 15:48:01,-70,37
2024-01-01 15:48:11,-70,37
2024-01-01 15:48:21,-70,37
2024-01-01 15:48:32,-70,37
2024-01-01 15:48:42,-70,37
2024-01-01 15:48:53,-70,37
2024-01-01 15:49:03,-70,37
2024-01-01 15:49:13,-70,37
2024-01-01 15:49:24,-70,37
2024-01-01 15:49:34,-70,37
2024-01-01 15:49:44,-70,37
2024-01-01 15:49:55,-70,37
2024-01-01 15:50:05,-70,37
2024-01-01 15:50:15,-70,37
2024-01-01 15:50:26,-70,37
2024-01-01 15:50:36,-70,37
2024-01-01 15:50:46,-70,37
2024-01-01 15:50:57,-70,37
2024-01-01 15:51:07,-70,37
2024-01-01 15:51:17,-70,37
2024-01-01 15:51:28,-70,37
2024-01-01 15:51:38,-70,37
2024-01-01 15:51:48,-70,37
2024-01-01 15:51:59,-70,37
2024-01-01 15:52:09,-70,37
2024-01-01 15:52:19,-70,37
2024-01-01 15:52:30,-70,37
2024-01-01 15:52:40,-70,37
2024-01-01 15:52:50,-70,37
2024-01-01 15:53:01,-70,37
2024-01-01 15:53:11,-70,37
2024-01-01 15:53:21,-70,37
2024-01-01 15:53:32,-70,37
2024-01-01 15:53:42,-70,37
2024-01-01 15:53:52,-70,37
2024-01-01 15:54:03,-70,37
2024-01-01 15:54:13,-70,37
2024-01-01 15:54:23,-70,37
2024-01-01 15:54:34,-70,37
2024-01-01 15:54:44,-70,37
2024-01-01 15:54:54,-70,37
2024-01-01 15:55:05,-70,37
2024-01-01 15:55:15,-70,37
2024-01-01 15:55:25,-69,36
2024-01-01 15:55:36,-65,35
2024-01-01 15:55:46,-59,35
2024-01-01 15:55:56,-55,35
2024-01-01 15:56:07,-53,35
2024-01-01 15:56:17,-53,35
2024-01-01 15:56:28,-53,35
2024-01-01 15:56:38,-53,34
2024-01-01 15:56:48,-51,34
2024-01-01 15:56:59,-49,34
2024-01-01 15:57:09,-46,33
2024-01-01 15:57:19,-43,33
